INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 0', 'MODELPHUKIEN0', 'SERIPHUKIEN0', '2000000', '1');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 410', 'MODELPHUKIEN410', 'SERIPHUKIEN410', '2000000', '821');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 411', 'MODELPHUKIEN411', 'SERIPHUKIEN411', '2000000', '823');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 412', 'MODELPHUKIEN412', 'SERIPHUKIEN412', '2000000', '825');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 413', 'MODELPHUKIEN413', 'SERIPHUKIEN413', '2000000', '827');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 414', 'MODELPHUKIEN414', 'SERIPHUKIEN414', '2000000', '829');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 415', 'MODELPHUKIEN415', 'SERIPHUKIEN415', '2000000', '831');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 416', 'MODELPHUKIEN416', 'SERIPHUKIEN416', '2000000', '833');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 417', 'MODELPHUKIEN417', 'SERIPHUKIEN417', '2000000', '835');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 418', 'MODELPHUKIEN418', 'SERIPHUKIEN418', '2000000', '837');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 419', 'MODELPHUKIEN419', 'SERIPHUKIEN419', '2000000', '839');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 420', 'MODELPHUKIEN420', 'SERIPHUKIEN420', '2000000', '841');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 421', 'MODELPHUKIEN421', 'SERIPHUKIEN421', '2000000', '843');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 422', 'MODELPHUKIEN422', 'SERIPHUKIEN422', '2000000', '845');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 423', 'MODELPHUKIEN423', 'SERIPHUKIEN423', '2000000', '847');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 424', 'MODELPHUKIEN424', 'SERIPHUKIEN424', '2000000', '849');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 425', 'MODELPHUKIEN425', 'SERIPHUKIEN425', '2000000', '851');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 426', 'MODELPHUKIEN426', 'SERIPHUKIEN426', '2000000', '853');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 427', 'MODELPHUKIEN427', 'SERIPHUKIEN427', '2000000', '855');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 428', 'MODELPHUKIEN428', 'SERIPHUKIEN428', '2000000', '857');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 429', 'MODELPHUKIEN429', 'SERIPHUKIEN429', '2000000', '859');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 430', 'MODELPHUKIEN430', 'SERIPHUKIEN430', '2000000', '861');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 431', 'MODELPHUKIEN431', 'SERIPHUKIEN431', '2000000', '863');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 432', 'MODELPHUKIEN432', 'SERIPHUKIEN432', '2000000', '865');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 433', 'MODELPHUKIEN433', 'SERIPHUKIEN433', '2000000', '867');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 434', 'MODELPHUKIEN434', 'SERIPHUKIEN434', '2000000', '869');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 435', 'MODELPHUKIEN435', 'SERIPHUKIEN435', '2000000', '871');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 436', 'MODELPHUKIEN436', 'SERIPHUKIEN436', '2000000', '873');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 437', 'MODELPHUKIEN437', 'SERIPHUKIEN437', '2000000', '875');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 438', 'MODELPHUKIEN438', 'SERIPHUKIEN438', '2000000', '877');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 439', 'MODELPHUKIEN439', 'SERIPHUKIEN439', '2000000', '879');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 440', 'MODELPHUKIEN440', 'SERIPHUKIEN440', '2000000', '881');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 441', 'MODELPHUKIEN441', 'SERIPHUKIEN441', '2000000', '883');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 442', 'MODELPHUKIEN442', 'SERIPHUKIEN442', '2000000', '885');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 443', 'MODELPHUKIEN443', 'SERIPHUKIEN443', '2000000', '887');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 444', 'MODELPHUKIEN444', 'SERIPHUKIEN444', '2000000', '889');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 445', 'MODELPHUKIEN445', 'SERIPHUKIEN445', '2000000', '891');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 446', 'MODELPHUKIEN446', 'SERIPHUKIEN446', '2000000', '893');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 447', 'MODELPHUKIEN447', 'SERIPHUKIEN447', '2000000', '895');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 448', 'MODELPHUKIEN448', 'SERIPHUKIEN448', '2000000', '897');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 449', 'MODELPHUKIEN449', 'SERIPHUKIEN449', '2000000', '899');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 450', 'MODELPHUKIEN450', 'SERIPHUKIEN450', '2000000', '901');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 451', 'MODELPHUKIEN451', 'SERIPHUKIEN451', '2000000', '903');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 452', 'MODELPHUKIEN452', 'SERIPHUKIEN452', '2000000', '905');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 453', 'MODELPHUKIEN453', 'SERIPHUKIEN453', '2000000', '907');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 454', 'MODELPHUKIEN454', 'SERIPHUKIEN454', '2000000', '909');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 455', 'MODELPHUKIEN455', 'SERIPHUKIEN455', '2000000', '911');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 456', 'MODELPHUKIEN456', 'SERIPHUKIEN456', '2000000', '913');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 457', 'MODELPHUKIEN457', 'SERIPHUKIEN457', '2000000', '915');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 458', 'MODELPHUKIEN458', 'SERIPHUKIEN458', '2000000', '917');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 459', 'MODELPHUKIEN459', 'SERIPHUKIEN459', '2000000', '919');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 460', 'MODELPHUKIEN460', 'SERIPHUKIEN460', '2000000', '921');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 461', 'MODELPHUKIEN461', 'SERIPHUKIEN461', '2000000', '923');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 462', 'MODELPHUKIEN462', 'SERIPHUKIEN462', '2000000', '925');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 463', 'MODELPHUKIEN463', 'SERIPHUKIEN463', '2000000', '927');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 464', 'MODELPHUKIEN464', 'SERIPHUKIEN464', '2000000', '929');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 465', 'MODELPHUKIEN465', 'SERIPHUKIEN465', '2000000', '931');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 466', 'MODELPHUKIEN466', 'SERIPHUKIEN466', '2000000', '933');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 467', 'MODELPHUKIEN467', 'SERIPHUKIEN467', '2000000', '935');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 468', 'MODELPHUKIEN468', 'SERIPHUKIEN468', '2000000', '937');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 469', 'MODELPHUKIEN469', 'SERIPHUKIEN469', '2000000', '939');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 470', 'MODELPHUKIEN470', 'SERIPHUKIEN470', '2000000', '941');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 471', 'MODELPHUKIEN471', 'SERIPHUKIEN471', '2000000', '943');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 472', 'MODELPHUKIEN472', 'SERIPHUKIEN472', '2000000', '945');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 473', 'MODELPHUKIEN473', 'SERIPHUKIEN473', '2000000', '947');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 474', 'MODELPHUKIEN474', 'SERIPHUKIEN474', '2000000', '949');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 475', 'MODELPHUKIEN475', 'SERIPHUKIEN475', '2000000', '951');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 476', 'MODELPHUKIEN476', 'SERIPHUKIEN476', '2000000', '953');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 477', 'MODELPHUKIEN477', 'SERIPHUKIEN477', '2000000', '955');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 478', 'MODELPHUKIEN478', 'SERIPHUKIEN478', '2000000', '957');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 479', 'MODELPHUKIEN479', 'SERIPHUKIEN479', '2000000', '959');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 480', 'MODELPHUKIEN480', 'SERIPHUKIEN480', '2000000', '961');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 481', 'MODELPHUKIEN481', 'SERIPHUKIEN481', '2000000', '963');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 482', 'MODELPHUKIEN482', 'SERIPHUKIEN482', '2000000', '965');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 483', 'MODELPHUKIEN483', 'SERIPHUKIEN483', '2000000', '967');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 484', 'MODELPHUKIEN484', 'SERIPHUKIEN484', '2000000', '969');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 485', 'MODELPHUKIEN485', 'SERIPHUKIEN485', '2000000', '971');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 486', 'MODELPHUKIEN486', 'SERIPHUKIEN486', '2000000', '973');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 487', 'MODELPHUKIEN487', 'SERIPHUKIEN487', '2000000', '975');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 488', 'MODELPHUKIEN488', 'SERIPHUKIEN488', '2000000', '977');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 489', 'MODELPHUKIEN489', 'SERIPHUKIEN489', '2000000', '979');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 490', 'MODELPHUKIEN490', 'SERIPHUKIEN490', '2000000', '981');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 491', 'MODELPHUKIEN491', 'SERIPHUKIEN491', '2000000', '983');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 492', 'MODELPHUKIEN492', 'SERIPHUKIEN492', '2000000', '985');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 493', 'MODELPHUKIEN493', 'SERIPHUKIEN493', '2000000', '987');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 494', 'MODELPHUKIEN494', 'SERIPHUKIEN494', '2000000', '989');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 495', 'MODELPHUKIEN495', 'SERIPHUKIEN495', '2000000', '991');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 496', 'MODELPHUKIEN496', 'SERIPHUKIEN496', '2000000', '993');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 497', 'MODELPHUKIEN497', 'SERIPHUKIEN497', '2000000', '995');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 498', 'MODELPHUKIEN498', 'SERIPHUKIEN498', '2000000', '997');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 499', 'MODELPHUKIEN499', 'SERIPHUKIEN499', '2000000', '999');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 500', 'MODELPHUKIEN500', 'SERIPHUKIEN500', '2000000', '1001');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 501', 'MODELPHUKIEN501', 'SERIPHUKIEN501', '2000000', '1003');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 502', 'MODELPHUKIEN502', 'SERIPHUKIEN502', '2000000', '1005');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 503', 'MODELPHUKIEN503', 'SERIPHUKIEN503', '2000000', '1007');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 504', 'MODELPHUKIEN504', 'SERIPHUKIEN504', '2000000', '1009');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 505', 'MODELPHUKIEN505', 'SERIPHUKIEN505', '2000000', '1011');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 506', 'MODELPHUKIEN506', 'SERIPHUKIEN506', '2000000', '1013');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 507', 'MODELPHUKIEN507', 'SERIPHUKIEN507', '2000000', '1015');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 508', 'MODELPHUKIEN508', 'SERIPHUKIEN508', '2000000', '1017');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 509', 'MODELPHUKIEN509', 'SERIPHUKIEN509', '2000000', '1019');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 510', 'MODELPHUKIEN510', 'SERIPHUKIEN510', '2000000', '1021');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 511', 'MODELPHUKIEN511', 'SERIPHUKIEN511', '2000000', '1023');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 512', 'MODELPHUKIEN512', 'SERIPHUKIEN512', '2000000', '1025');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 513', 'MODELPHUKIEN513', 'SERIPHUKIEN513', '2000000', '1027');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 514', 'MODELPHUKIEN514', 'SERIPHUKIEN514', '2000000', '1029');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 515', 'MODELPHUKIEN515', 'SERIPHUKIEN515', '2000000', '1031');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 516', 'MODELPHUKIEN516', 'SERIPHUKIEN516', '2000000', '1033');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 517', 'MODELPHUKIEN517', 'SERIPHUKIEN517', '2000000', '1035');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 518', 'MODELPHUKIEN518', 'SERIPHUKIEN518', '2000000', '1037');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 519', 'MODELPHUKIEN519', 'SERIPHUKIEN519', '2000000', '1039');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 520', 'MODELPHUKIEN520', 'SERIPHUKIEN520', '2000000', '1041');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 521', 'MODELPHUKIEN521', 'SERIPHUKIEN521', '2000000', '1043');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 522', 'MODELPHUKIEN522', 'SERIPHUKIEN522', '2000000', '1045');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 523', 'MODELPHUKIEN523', 'SERIPHUKIEN523', '2000000', '1047');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 524', 'MODELPHUKIEN524', 'SERIPHUKIEN524', '2000000', '1049');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 525', 'MODELPHUKIEN525', 'SERIPHUKIEN525', '2000000', '1051');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 526', 'MODELPHUKIEN526', 'SERIPHUKIEN526', '2000000', '1053');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 527', 'MODELPHUKIEN527', 'SERIPHUKIEN527', '2000000', '1055');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 528', 'MODELPHUKIEN528', 'SERIPHUKIEN528', '2000000', '1057');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 529', 'MODELPHUKIEN529', 'SERIPHUKIEN529', '2000000', '1059');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 530', 'MODELPHUKIEN530', 'SERIPHUKIEN530', '2000000', '1061');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 531', 'MODELPHUKIEN531', 'SERIPHUKIEN531', '2000000', '1063');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 532', 'MODELPHUKIEN532', 'SERIPHUKIEN532', '2000000', '1065');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 533', 'MODELPHUKIEN533', 'SERIPHUKIEN533', '2000000', '1067');
INSERT INTO PHUKIEN (TEN_PHUKIEN, MODEL, SERI, NGUYEN_GIA, MA_TAISAN )VALUES ( 'phụ kiện 534', 'MODELPHUKIEN534', 'SERIPHUKIEN534', '2000000', '1069');
